Company,items,industry,description
상상인증권,유가증권 매매,금융 지원 서비스업,"기업개요
1954년 대유증권주식회사로 설립되었으며, 2019년 3월에 상상인으로 대주주 변경됨. 이후 골든브릿지증권에서 상상인증권으로 상호를 변경함.
유가증권의 위탁매매업무, 인수/주선 업무, 자기매매업무 및 이를 바탕으로 얻은 자금을 운용하여 수익을 창출함.
IB부문은 우수 영업인력 영입과 육성 등 영업조직 강화를 통해 성장동력을 갖추었으며, 지속적인 리스크관리 등으로 성과를 보이고 있음.
출처 : 에프앤가이드"
우리금융지주,금융지주,기타 금융업,"기업개요
동사는 2019년 1월 설립한 지주회사로 주요 종속회사들의 사업은 은행업, 신용카드업, 종합금융업 등임.
2019년 우리자산운용/ABL자산운용(우리글로벌)을 자회사로 편입함. 2021년 3월 우리금융저축은행 지분 100%를 취득하여 자회사로 편입, 8월 포괄적 주식교환 방식으로 우리금융캐피탈을 완전 자회사화하였음.
2023년 3월 다올인베스트먼트(현 우리벤처파트너스)의 지분 52%를 취득하여 자회사로 편입함.
출처 : 에프앤가이드"
우리종금,"종합금융,주택할부금융,부동산",기타 금융업,"기업개요
1974년 설립된 동사는 6개 선발 종금사로 출발하여 IMF 경제위기 이후 현재 당사만이 유일한 전업종합금융사로 영업 중에 있으며, 2개의 겸업사가 동 업무를 영위하고 있음.
동사의 주요업무는 수신, 단기 및 중장기 여신, 유가증권 운용, 금융투자상품 판매, 국제금융 등임.
동사는 수신 고객기반 확대를 위해 비대면 계좌개설 서비스 등을 제공하고 있으며, 예금상품외에도 금융투자상품 판매 확대를 위해 노력하고 있음.
출처 : 에프앤가이드"
키움증권,"유가증권의 매매, 위탁, 인수, 주선",금융 지원 서비스업,"기업개요
2000년 온라인 주식 위탁영업에 특화된 증권사로 시작하였으며, 키움투자자산운용, 키움저축은행, 키움YES저축은행, 키움인베스트먼트 등의 종속회사가 있음.
우수한 시스템과 가격 경쟁력을 기반으로 브로커리지 부문에서 2005년 이후 18년 연속 주식시장 점유율 1위를 기록함.
IB부문 강화, 안정적인 PI수익 추구, 대형 홀세일하우스 구축을 추진하는 등 포트폴리오를 다각화함. 2022년 4월 국내 9번째 종합금융투자사업자로 지정됨.
출처 : 에프앤가이드"
한화손해보험,손해보험,보험업,"기업개요
대한민국 최초 민족자본 설립 손해보험사로 장기, 자동차, 일반보험분야에서 고객의 니즈에 맞는 다양한 상품 및 서비스를 제공하고 있음.
종속회사로 국내 최초의 디지털 보험사인 캐롯손해보험이 있으며, 종속회사로 국내 최초의 디지털 보험사인 캐롯손해보험이 있음.
금융소비자보호법 시행에 맞춰 금융소비자보호 헌장 개정, 소비자 보호체계 강화 등을 통해 소비자 권익 보호에 최선을 다하고 있음.
출처 : 에프앤가이드"
엠벤처투자,벤처캐피탈,신탁업 및 집합투자업,"기업개요
동사는 1986년 설립된 신영기술금융을 모태로 2007년 구.엠벤처투자주식회사와 합병 완료됐으며, 법률상 합병회사의 상호를 엠벤처투자주식회사로 변경하였음.
2014년 한국산업은행 출자제안에 선정돼 600억원 규모의 펀드를 결성. 2021년 9월 100억 규모의 신규조합(엠-소재부품장비1호투자조합)을 결성하여 투자를 진행하고 있음.
매출은 창업투자및기업구조조정수익 위주로 구성됨.
출처 : 에프앤가이드"
이베스트투자증권,유가증권위탁매매,금융 지원 서비스업,"기업개요
1999년에 국내 최초의 온라인 증권사로 출범하였으며, 현재는 온라인을 근간으로 하는 종합증권사로서 위탁매매업무, 인수/주선업무, 자기매매업무 등을 영위함.
온라인 위탁매매를 핵심 영업으로 하고 있으며, 기존 온라인 브로커리지를 포함하는 리테일 부문, 홀세일 및 IB 부문이 시너지를 창출하고 있음.
동사의 최대주주는 LS네트웍스가 지분의 98.8%를 보유하고 있는 지앤에이(G&A)사모펀드(PEF)임.
출처 : 에프앤가이드"
인카금융서비스,보험 판매,보험 및 연금관련 서비스업,"기업개요
동사는 2019년 1월 10일 설립되었고 2022년 2월 16일 코스닥시장에 상장하였음.
보험과 IT를 융합한 핀테크영업시스템을 기초로 손, 생보사 보험 상품의 비교 분석을 통해 고객에게 재무설계서비스를 제공하는 보험판매 전문회사.
보험사로부터 보험판매의 수입수수료와 개별 보험설계사에 판매지급수수료의 차액을 주된 영업이익으로 하고 있으며 보험업법과 소비자 보호를 위한 금융소비자보호법의 적용 및 금융감독원의 감독을 받고 있음.
출처 : 에프앤가이드"
큐캐피탈,"사모투자(PEF),벤처투자",기타 금융업,"기업개요
1982년 12월 17일 신기술사업자에 대한 투자를 목적으로 설립되었으며 여신전문금융업법에 따라 설립된 국내 최초 민간 신기술사업금융회사임.
동사는 여신전문금융업법에 따라 설립된 신기술사업금융회사로서 신기술사업자에 대한 투융자[벤처투자업무]와 기업구조조정 및 사모투자업무를 주업으로 하고 있음.
대출채권, 신기술금융자산, 투자운용자산 등은 당사의 주 사업과 관련된 중요한 자산으로서 회사의 주요 수익이 이들 자산에서 발생함.
출처 : 에프앤가이드"
푸른저축은행,대출이자,은행 및 저축기관,"기업개요
서민과 소규모 기업의 금융 편의를 도모하고 지역사회의 발전에 기여하며, 중산층 및 서민의 저축을 증대하기 위해 1972년 8월 제정된 상호저축은행법에 의하여 설립된 제2금융기관임.
제2금융기관으로서 예금과 대출을 주 업무로 하고 있으며 체계적인 위상정립, 건전성 확보 및 수익모델 창출을 통하여 서민금융기관으로서의 새로운 발전을 모색하고 있음.
중금리 신용대출, 시중은행과의 연계를 통한 대출 등을 추진 중임.
출처 : 에프앤가이드"
DB금융투자,"유가증권,위탁매매,인수,자기매매",금융 지원 서비스업,"기업개요
동사는 DB그룹에 속한 계열회사로서 1982년에 국민투자금융으로 설립되었고, 2017년 11월 동부증권에서 DB금융투자로 상호 변경하였음.
당분기말 현재 국내에 22개 지점(본점 포함)이 있으며, 연결대상 종속회사는 DB자산운용, DB저축은행 등이 있음.
동사가 소속된 DB금융네트워크는 증권(금융투자/자산운용), 보험(손해/생명), 은행(저축은행/캐피탈)의 금융서비스 3대 축으로 체계적인 금융서비스를 제공하고 있음.
출처 : 에프앤가이드"
다올투자증권,"금융업, 서비스, 부동산",금융 지원 서비스업,"기업개요
1981년 한국기술개발주식회사로 설립, 2008년 신기술사업금융업에서 증권업으로 주요 영업을 변경한 금융투자회사임. 2022년 3월 다올투자증권으로 사명을 변경함.
주요 종속회사로는 다올저축은행, 다올자산운용, 다올프라이빗에쿼티, 다올신용정보 등이 있음. 2023년 다올인베스트 지분 52%(2,125억원)를 우리금융지주에 매각함.
동사는 중소형사로서 기존에 경쟁력을 갖고 있는 IB영업부문 외에 대체투자 역량을 강화하고 있음.
출처 : 에프앤가이드"
다우기술,"인터넷솔루션 개발,도매,IT컨설팅,시스템 설계,자문,인터넷관련서비스/부동산분양,개발,임대","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","기업개요
동사는 1986년 1월9일 설립됐으며 1997년 8월 27일 유가증권시장에 상장되어 매매가 개시됨.
동사의 주요 사업은 중소기업,자영업자를 위한 마케팅 플랫폼 '뿌리오 서비스', 쇼핑몰 통합관리시스템인 '사방넷' 서비스를 제공하며, 종속회사인 키움증권의 IT아웃소싱을 담당하는 IT서비스 산업을 영위함.
키움증권을 비롯하여 총 169개의 종속회사를 연결로 보유하고 있음.
출처 : 에프앤가이드"
스틱인베스트먼트,사모펀드(PEF),신탁업 및 집합투자업,"기업개요
사모펀드(PEF) 운용사 최초로 유가증권시장에 상장하였으며, 2021년 12월 17일 합병을 통해 상호를 변경하였음. 변경전 상호는 '디피씨주식회사'임.
동사는 사모투자 사업을 영위하는 회사로서, 자본시장과 금융투자업에 관한 법률에 의거 금융감독원에 등록된 기관전용 사모집합투자기구 운용회사임.
벤처투자조합등 조합결성을 통한 창업초기 기업투자 및 사모집합투자기구(PEF) 결성과 운용을 주력 사업으로 영위하고 있음.
출처 : 에프앤가이드"
현대해상,손해보험(자동차보험),보험업,"기업개요
1955년 3월에 해상보험 전업회사로 보험업에 진출하여, 해상, 화재, 자동차, 장기,연금 및 퇴직보험 등의 손해보험 전 부문에 걸쳐 사업을 영위함.
신용평가기관인 A.M.Best로부터 A(Excellent) 등급, S&P로부터 A-(Stable)의 등급을 부여받고 있음.
2022년 12월 기준, 사업부 57개, 지점 344개, 보상S/C 15개 등이 전국 주요거점에 위치하고 있음.
출처 : 에프앤가이드"
나우IB,"투자조합, PEF 결성 및 투자",기타 금융업,"기업개요
2007년 설립된 솔브레인 계열의 신기술사업금융회사로서 투자조합과 사모펀드를 통해 신기술사업자, 창업자, 벤처기업 등에 대한 투자 및 회수의 업무를 수행하고 있음.
수익은 관리보수, 성과보수, 지분법이익과 기타의 영업수익으로 구성돼 있으며 일반적으로 관리보수는 조합 및 PEF 운영규모에 따라 발생하는 상대적으로 안정적인 수익에 해당됨.
현재 운용중인 투자펀드와 PEF는 총 18개로 AUM은 1조 810억원임(청산중 2개 포함).
출처 : 에프앤가이드"
대성창투,투자서비스,신탁업 및 집합투자업,"기업개요
동사는 벤처캐피탈의 도입초기였던 1987년에 설립되어 중소기업창업자 및 벤처기업에 대한 투자와 창업투자조합의 결성 및 업무의 집행 등을 주 업무로 하고 있음.
2010년 3월 사명을 대성창업투자 주식회사로 변경하였으며 부품소재, 에너지, 환경, ICT산업 및 문화콘텐츠 등에 특화함.
2019년에 투자한 기업인 웹케시, 이노테라피, 수젠텍, 캐리소프트가 코스닥 상장되었으며, 2020년에는 젠큐릭스가 코스닥 시장에 이전상장되었음.
출처 : 에프앤가이드"
우리기술투자,창업자에 대한 투자 및 융자,기타 금융업,"기업개요
여신전문금융업법상 신기술사업금융업, 시설대여업 및 할부금융업을 주요사업으로 영위하고 있음.
설립후 국내 벤처산업 전반(정보통신, 반도체, 소프트웨어, 바이오, 환경등)에 걸친 꾸준한 투자활동으로 1998년 부터 2007년까지 평균 납입자본수익률이 25%를 상회하며 성장해왔음.
스톤브릿지디지털PEF의 인크로스 일부 매각을 통한 이익 배분과 장기 부실채권의 회수를 진행하였음.
출처 : 에프앤가이드"
우리벤처파트너스,"창업투자금융, 벤처기업투자 등",기타 금융업,"기업개요
우수한 기술력 또는 새로운 비즈니스 모델을 기반으로 시장을 만들거나 기존 시장에 큰 변혁을 일으킬 만한 높은 미래 성장 가능성을 갖춘 벤처기업에 지분투자방식으로 투자를 수행하는 벤처캐피탈 업무를 영위.
2022년 3월 선정된 모태펀드 1차 정시 스케일업분야 및 6월 모태펀드 2차 정시 창업초기분야에 선정되며 22년 12월 펀드 결성을 완료함.
2022년 말 약정액 2,613억원 및 435억원 규모의 벤처투자조합의 결성에 성공함.
출처 : 에프앤가이드"
케이프,선박엔진용실린더라이너,선박 및 보트 건조업,"기업개요
동사는 1983년 설립되어 대형선박엔진의 핵심 부품인 실린더라이너 제조업을 영위하고 있음.
동사의 주요 종속회사인 케이프투자증권(주)는 자본시장과 금융투자업에 관한 법률에 따른 금융업무 및 부수업무를 주요사업으로 하고 있음.
동사는 30여년간 실린더라이너 한 가지 제품만 생산하여 세계 최고의 실린더라이너 제작업체로 인정받고 있음. 또한 일괄생산체제을 구축하고 있어 높은 생산효율성과 긴급대응에 용이한 시스템을 구축하고 있음.
출처 : 에프앤가이드"
한국캐피탈,리스수수료,기타 금융업,"기업개요
1989년 설립되어, 2001년 6월 군인공제회를 대주주로 맞이하였으며 시설대여업 및 렌탈업, 팩토링업무 및 운전자금지원과 신용대출 및 담보대출업무 등을 영위하고 있음.
팩토링 및 일반대출, 지급보증, 기술사업금융업 등의 기업금융과 리스, 할부금융, 개인대출 등 소액 다건 여신 위주의 Portfolio 다각화를 통한 영업확대 및 수익창출에 주력하고 있음.
리스크를 낮추기 위해 기업, 리스, 소매금융 등으로 포트폴리오를 다각화 함.
출처 : 에프앤가이드"
JB금융지주,금융지주 회사,기타 금융업,"기업개요
2013년 전북은행의 주주로부터 주식이전 방법으로 설립된 금융지주회사로 자회사에 대하여 경영관리와 이에 부수하는 자금지원, 자금조달 등을 영위함.
전북은행, 광주은행, JB우리캐피탈, JB자산운용, JB인베스트먼트를 자회사로, 프놈펜상업은행, JB캐피탈 미얀마, JB증권 베트남 JB프놈펜자산운용 등을 손자회사로 둠.
2021년 전북은행 자회사로 캄보디아에 자산운용사 설립하였으며, 2022년 신기술금융사인 메가인베스트먼트 인수함.
출처 : 에프앤가이드"
기업은행,은행업,은행 및 저축기관,"기업개요
1961년 중소기업자에 대한 효율적인 신용제도를 확립함으로써 자주적인 경제활동을 지원하는 것을 목적으로 설립된 중소기업대출 특화 전문은행임.
60년 넘게 축적된 중기금융 노하우와 정교한 신용평가시스템을 바탕으로 우량 기업 발굴 및 지원하며, 체계적인 리스크 관리 중임. 연결대상 주요종속기업은 IBK자산운용, IBK투자증권, IBK캐피탈 등임.
전국과 해외에 601개의 지점과 30개의 출장소를 보유하고 있음.
출처 : 에프앤가이드"
롯데손해보험,손해보험업,보험업,"기업개요
대한화재해상보험으로 설립된 손해보험사로 2008년 롯데그룹에 편입되었으나, 2019년 최대주주가 빅튜라(유)로 변경됨에 따라 기업집단 롯데에서 제외됨.
업계 최초로 하이브리드 자동차 보험료 할인을 실시하는 등 지속적으로 친환경보험상품을 개발하고, 녹색사업장 구축을 위해 노력하며 글로벌 주요 환경 이슈에 대응함.
안정적 자본건전성의 기반을 구축하여 신용평가사가 실시한 보험금 지급 능력 평가에서 A등급(안정적)을 획득함.
출처 : 에프앤가이드"
미래에셋증권,"유가증권매매,유가증권위탁매매,유가증권인수",금융 지원 서비스업,"기업개요
국내외 우량 투자자산을 기반으로 한 상품 개발, 트레이딩 역량 등 다양한 분야에서 경쟁력을 갖춘 증권사로서 2016년 4월 미래에셋증권으로 최대주주 변경되었고, 합병 후 2021년 3월 미래에셋증권으로 사명 변경함.
미국, 홍콩, 베트남, 인도네시아를 비롯 전 세계 10개 지역에 진출하여 국내 최대 규모의 글로벌 네트워크를 보유하고 있음.
주요사업은 크게 해외사업, 투자은행, 트레이딩, 자기자본 투자, 자산관리로 구성됨.
출처 : 에프앤가이드"
에이플러스에셋,보험대리 및 중개업,보험 및 연금관련 서비스업,"기업개요
동사는 보험 상품의 보장내용, 사업비, 투자수익률, 상품가격 등을 고객 관점에서 철저하게 비교분석하여 서비스를 제공하는 독립법인보험대리점으로 국내 모든 생명보험 손해보험사와 제휴 중.
동사가 속한 독립법인보험대리점은 보험회사를 위해 보험계약 체결을 대리하는 자임. 개인보험대리점과 법인보험대리점으로 구분됨.
종합 보장분석 시스템 TRD, 보험 보장분석 모바일앱 보플(BOPLE) 등을 개발하여 플랫폼 비즈니스 시스템을 구축함.
출처 : 에프앤가이드"
하나금융지주,기타 금융,기타 금융업,"기업개요
2005년 설립된 하나금융그룹 지주회사로서 자회사 지배 및 경영관리, 자금공여 등의 업무를 수행함.
하나금융그룹은 지주사인 동사를 중심으로 하나은행, 하나증권, 하나카드, 하나캐피탈, 하나생명, 하나손해보험을 비롯한 14개의 자회사와 전세계 25개국의 글로벌 네트워크를 가지고 있음.
그룹통합멤버십인 '하나멤버스'를 금융권 최초로 개발했으며, 모바일 금융 앱 '하나원큐'는 다양한 금융 서비스를 한번의 로그인만으로 가능하게 함.
출처 : 에프앤가이드"
SBI인베스트먼트,벤처캐피탈,신탁업 및 집합투자업,"기업개요
동사는 중소기업창업지원법에 근거하여 중소창업기업에 대한 투자 지원과 창업투자조합의 결성 등을 영위할 목적으로 1986년 11월 24일에 설립됨.
1989년 9월에 벤처캐피탈 업계 최초로 코스닥시장에 상장되어 코스닥시장에서 매매가 개시함.
동사의 주요 사업 분야는 창업자 및 벤처기업에 대한 투자, 창업투자조합의 결성 및 업무의 집행, 사모투자전문회사(PEF)의 설립 및 운용, 기업인수합병(M&A) 등임.
출처 : 에프앤가이드"
